NO,OCC,E(Eh),E(eV)
0.0,2.0,-20.54472,-559.0503
1.0,2.0,-1.308321,-35.6012
2.0,2.0,-0.705563,-19.1993
3.0,2.0,-0.555916,-15.1272
4.0,2.0,-0.495102,-13.4724
5.0,0.0,0.174999,4.762
6.0,0.0,0.253038,6.8855
7.0,0.0,0.804617,21.8948
8.0,0.0,0.833977,22.6937
9.0,0.0,1.185331,32.2545
10.0,0.0,1.20344,32.7473
11.0,0.0,1.265997,34.4495
12.0,0.0,1.332062,36.2472
13.0,0.0,1.579837,42.9896
14.0,0.0,1.7281,47.024
15.0,0.0,1.832021,49.8518
